identifier,commonName,url,startDate,description,platforms,fundurls,otherurl
frontendmasters.com,Frontend Masters,https://frontendmasters.com/blog/how-were-supporting-open-source-maintainers/,2019-01,50K per year; 2024 program broadens scope,OpenCollective; GitHub Sponsors; thanks.dev,https://opencollective.com/frontendmasters; https://github.com/orgs/FrontendMasters/sponsoring; https://thanks.dev/d/gh/frontendmasters/dependencies,
indeed.com,Indeed,https://github.com/indeedeng/FOSS-Contributor-Fund,2019-07,10K per month; employees who participate in FOSS can vote,various,https://opencollective.com/indeed,https://engineering.indeedblog.com/blog/2019/07/foss-fund-six-months-in/
microsoft.com,Microsoft,https://opensource.microsoft.com/ecosystem/,2020-01,10K per period; employee votes,various,https://github.com/orgs/microsoft/sponsoring,https://github.com/microsoft/foss-fund
sentry.io,Sentry,https://blog.sentry.io/funding-open-source/,2020-01,100K per year pledge; employee votes,GitHub sponsors; OpenCollective,https://thanks.dev/d/gh/getsentry; https://opencollective.com/sentry,
salesforce.com,Salesforce,https://engineering.salesforce.com/giving-back-through-our-foss-fund-38754167c00d/,2020-05,10K per quarter; employees who participate in FOSS can vote,,https://opencollective.com/salesforce,https://engineering.salesforce.com/announcing-the-first-foss-contributor-fund-recipient-60a295201497/
spotify.com,Spotify,https://engineering.atspotify.com/2024/01/qa-with-the-maintainers-of-the-spotify-foss-fund/,2022-04,100K EUR per year,,https://github.com/orgs/spotify/sponsoring,https://engineering.atspotify.com/2022/04/announcing-the-spotify-foss-fund/
bloomberg.com,Bloomberg,https://www.bloomberg.com/company/stories/bloomberg-ospo-launches-foss-contributor-fund/,2023-01,three 10K grants per quarter; employee votes,OpenCollective,https://opencollective.com/bloomberg-foss-fund,
zeiss.com,Zeiss,https://www.zeiss.com/corporate/en/about-us/present/newsroom/press-releases/2023/foss.html,2023-02,Several 1K to 4K EUR per year; employee votes,,https://github.com/orgs/ZEISS/sponsoring,
jhu.edu,Johns Hopkins University,https://ospo.library.jhu.edu/free-and-open-source-software-project-fund-fossprof/,2023-11,250K in latest year,,,https://blogs.library.jhu.edu/2023/11/johns-hopkins-university-open-source-programs-office-announces-project-fund-for-free-and-open-source-software/
sequoiacap.com,Sequoia Capital,https://www.sequoiacap.com/article/open-source-fellowship-applications/,2024-02,three new six+ month stipends,,,https://www.sequoiacap.com/article/sequoia-open-source-fellowship/
target.com,Target,https://tech.target.com/blog/open-source-fund,2024-03,12500USD donations so far noted,OpenCollective,https://opencollective.com/target-tech,